reason_for_recall,classification
The firm was notified by two of their customers that the Four Cheese Ravioli contained undeclared lobster and the Smoked Mozzarella Ravioli contained undeclared shrimp.,moderate
Undeclared whey protein which contains the allergens of milk and soy lecithin.,moderate
"T & S Oyster Farms brand refrigerated vacuum packed hot smoked oysters, Original flavor, is recalled due to the potential contamination with Clostridium botulinum.",major
Pepperidge Farm has been notified by one of its ingredient suppliers that whey powder in a seasoning that is applied to four varieties of Goldfish crackers has been the subject of a recall by the whey powder manufacturer due to the potential presence of Salmonella.,major
Products may be contaminated with  Listeria monocytogenes.,severe
"Pistachios, which were supplied by ARO and subsequently recalled, have the potential to be contaminated with Salmonella.",major
"On 02/17/2012 Sunshine Peanut Company initiated a recall of Sunny Boy and Sunshine Peanut Brand Peanut Butter, Codes 112012, 112312, 112412, 113112, and 120112.  Routine sampling by USDA found the products to contain Aflatoxin levels greater than 20 ppb.",major
Pizza Bagel is recalled due to the lack of temperature control to prevent pathogens growth.,major
Products may be contaminated with  Listeria monocytogenes.,severe
"New Punjab Sweets, Inc.is initiating a voluntary recall of multiple products due to undeclared allergens wheat and milk.",major
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Product contaminated with Salmonella,severe
The recalled products are potentially contaminated with Listeria monocytogenes.,severe
"The recall was initiated because Designer Protein has confirmed that Designer Whey 2lb Protein Powder  products claim gluten free, and lab results from the Canadian Food Inspection Agency (CFIA) found the products to contain gluten.",major
"River Ranch was notified that two separate samples of products pulled by the FDA which were produced by River Ranch, tested positive for Listeria monocytogenes.",severe
Potential Listeria monocytogenes,severe
The product is being recalled because it was manufactured using peanuts that were recalled by Peanut Corporation of America because of their potential to be contaminated with Salmonella.,major
"""Wheat"" flour was not declared on the label",moderate
Gills Onions is recalling diced and slivered red and yellow onions and diced celery and onion mix because they may be contaminated by Listeria monocytogenes.,severe
"Product contains undeclared ingredients, Hydroxypropyl Methylcellulose (HPMC), Titanium Dioxide, Polyethylene Glycol (PEG), Triacetin.",moderate
Undeclared soy coming from the Cheese Swiss.,moderate
Firm was notified by L-Leucine supplier that product may contain cyclamates. Testing of the product confirmed this and a recall was initiated.,moderate
Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced,moderate
Direct customer tested tuna loins and had a positive result for Hepatitis A.,severe
Product may contain metal foreign material in the Croissant Bun.,moderate
Undeclared allergen; egg.,moderate
"Sodium caseinate declared, milk undeclared",moderate
"Primex International Trading Corp. is recalling Pistachios Shelled, Halves, because it has the potential to be contaminated with Salmonella.",severe
Products may be contaminated with  Listeria monocytogenes.,severe
Undeclared allergen: Bread products were manufactured using raw material (wheat gluten) that was recalled due to undeclared peanut and/or tree nut residue.,major
"Concha Blancas- Undeclared artificial coloring (FD&C yellow # 5, yellow # 6)",moderate
Peach Salsa was made with peaches may be contaminated with Salmonella.,severe
"Specialty Commodities, Inc. is recalling a specific lot of Flax Meal that may be contaminated with Salmonella typhimurium.",major
Product has the potential to be contaminated with Listeria monocytogenes.,severe
Dairy Farmers of America Inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,major
Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,major
Potential contamination with Salmonella,major
Undeclared egg.,moderate
The peanut butter in the snack items have the potential to be contaminated with Salmonella.,severe
The firm received notification that the products were manufactured under insanitary conditions.,major
Products not manufactured under GMP's,major
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Product may be contaminated with Listeria monocytogenes.,severe
"GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.",moderate
Products not manufactured under GMP's,major
California Department of Public Health of Public Health sampled product and found it to contain Listeria monocytogenes.,severe
Product may contain undeclared milk.,moderate
"The firm is recalling Raw Walnuts because the products have the potential to be contaminated with Salmonella, an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Healthy persons infected with Salmonella often experience fever, diarrhea (which may be bloody), nausea, vomiting and abdominal pain. In r",major
"Products may potentially contain one or more of the following undeclared tree nuts: Pecans, Almonds, Coconut, Macadamia Nuts, & Walnuts.",moderate
Product is contaminated with mold.,severe
Due to different color of powder in capsules. Firm's evaluation determined product low potency.,major
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Bakery products which contain an ingredient which contain egg do not declare egg on the label,moderate
Product may contain undeclared milk.,moderate
Downstream recall from supplier.  Possible metal shavings in ingredient.,major
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
"Recent label audits show that the Country Fresh Ovens Cheese Coffee Cake contain an undeclared allergen, milk.",moderate
Products may be contaminated with  Listeria monocytogenes.,severe
"Undeclared wheat allergen, salad may incorrectly contain a packet of croutons.",moderate
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",major
Product was manufactured with flour recalled due to E. coli O121 contamination.,major
Product has the potential to be contaminated with Salmonella.,severe
California Department of Public Health sampled product and found it to contain high levels of lead.,moderate
Incorrect packaging for product resulting in an undeclared wheat allergen,moderate
"In response to a FDA inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.",major
Lenny & Larry s is recalling Chocolate Chip and Coconut Chocolate Chip cookies due to the possible presence of undeclared milk in the dark chocolate chips.,moderate
May be contaminated with Listeria monocytogenes,severe
Products may be contaminated with Cronobacter sakazakii and/or Clostridium botulinum,major
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,severe
Undeclared Milk. The firm received a complaint that there was milk in the product. The product ingredient statement does not include milk.,moderate
"Canned albacore tuna, Dungeness Seaworks brand, with any code starting with ""OC"" was recalled because it has the potential to be contaminated with Clostridium botulinum.",severe
"During an FDA inspection the firm was notified that their bulk product lacked labels. Due to the lack of ingredient statement, the firm failed to declare direct allergens for the products. The products also lacked the declaration that they are packaged in a facility that processes peanuts, tree nuts, wheat, milk and eggs.",major
Product may contain undeclared milk.,moderate
Certain Gouda Cheese products are being recalled after Saputo was notified by their supplier that the cheese may be contaminated with Listeria monocytogenes.,severe
"Kwik Trip, Inc. is recalling various bakery goods which might be contaminated with pieces of  plastic due to using plastic contaminated ice nuggets as an ingredient.",major
potential Allergen cross contact in oil used to roast various nuts and seeds products.,major
Potential Listeria monocytogenes contamination.,severe
Nobel Bakery is recalling Apricot Perouk and Assorted cookies because they may contain undeclared wheat.,moderate
"During an inspection by the Ohio Department of Agriculture, the firm was notified of numerous metal fragments in the salt hopper.",major
"Bickel's Snack Foods, Inc. of York, PA is voluntarily recalling all snack products that were made with milk ingredients supplied by one of its' secondary seasoning component suppliers.",major
"FDA environmental sampling found 21 of 50 positive for Listeria monocytogenes, 11 of these on food contact surfaces.",severe
GM Manufacturing is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,major
Product has a cloudy appearance,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
"Werner Brand Butter Toffee Peanuts are recalled because the labels declared butter, but milk is not declared.",major
Peach Champagne Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes.,severe
Product contains patulin at levels higher than the FDA established limit of 50 ppb.,moderate
Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,severe
Potential to contain undeclared soy and wheat,moderate
Product may be contaminated Listeria monocytogenes.,severe
"F&S Produce Co., Inc. of Rosenhayn, NJ is initiating a voluntary recall of a limited quantity of expired products that contain fresh-cut mangoes, with a code date that is on or before August 28, 2012, as a result of a FDA recall by Splendid Products because Daniella brand mangoes distributed by this firm may be contaminated with Salmonella.",major
"Mild Pineapple Smash Salsa, Soog Head brand, containing mild chili powder ingredient, is recalled due to potential for contamination with peanut protein.",major
Product contains undeclared sulfites.,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Proposition Chicken Ranch Dressing contains IQF Dill which is an ingredient recalled due to the presence of Listeria Monocytogenes.,major
Dakota Style Foods is recalling certain Sunflower Kernel products because they may be contaminated with Listeria monocytogenes.,severe
Bakery products which contain an ingredient which contain egg do not declare egg on the label,moderate
Indication of product spoilage,moderate
Sliced apples within the products being potentially contaminated with Listeria monocytogenes.,severe
Tennessee Dept. of Agriculture tested the product which was found positive for Listeria monocytogenes.,severe
The firm noticed that multiple snack food items for a customer had the same information panel. Therefore the ingredient list and allergen information is incorrect.,major
Packaged cheesecakes are distributed with no labels indicating the ingredients or the major food allergens they contain.,moderate
Jams and Jellies are made with butter which is not declared on the label.,severe
"The firm was notified by one of it's retail stores that the ingredient statement does not declare citric acid, potassium benzoate, aspartame, and acesulfame potassium.  The product contains the label for a regular drink instead of a diet drink.",moderate
These ricotta cheese products were manufactured from loads of whey protein concentrate that tested positive for beta lactam residues.,major
Sauces may not meet quality standards due to the presence of mold.,major
"Product's supplement fact panel incorrectly states that the product contains 75 mg (milligrams) of Molybdenum, when it actually contains 75 mcg (micrograms).",moderate
"The labels on two-liter batches of Regular and Diet Wild Cherry Pepsi were mistakenly swapped during production. This is potential safety issue for individuals who are sensitive to phenylalanine (i.e., phenylketonuric) or who are diabetic.",severe
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
Bridge City Baking is recalling three frozen ready to bake pies due to undeclared milk.  Butter is declared without the sub-ingredient milk.,moderate
"In response to a FDA inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.",major
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Product tested high for mold.,moderate
"Royal Seafood Baza, Inc. has recalled all pickled products produced on 3/1/2016, 3/2/2016 and also all herring products produced on 2/29/2016 due to possible contamination with Listeria monocytogenes.",major
Deficient packaging material potentially leading to  premature spoilage.,severe
Undeclared allergen; Peanut Protein,moderate
1 Epic is recalling specific lots of various Fruit 66 100% Fruit Juice products because the cans are experiencing swelling that can cause the lids of the can to pop off and potentially cause an injury.,major
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
"Mondelez Global LLC  is initiating a  recall because  remnants of a half  peanut shell were found in two containers of bulk candy from a single lot during the repacking process and the candy is not labeled as containing peanuts.     Mondelez Global LLC  after an investigation, including inspection of product within in their control from the same lot did not find any other evidence of peanut contamination.  The firm believes this is most likely to be an isolated incident and that product on the market is unlikely to contain any peanut pieces and the product is not likely to cause adverse health consequences to peanut allergic consumers.    No adverse health events have been reported. Never the less, out of an abundance of caution, we have determined to conduct a voluntary recall to the retail level.",moderate
TreeHouse Foods is recalling products that may be impacted by sunflower seeds  contaminated with Listeria monocytogenes.,severe
Product may contain undeclared milk.,moderate
Product has potential to be contaminated with Listeria monocytogenes,severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
English Toffee Custard is being recalled due to the potential to be contaminated with Listeria monocytogenes.,severe
New Seasons Markets is recalling their brand name Almond Butter due to a labeling error.  Some of the jars labeled Almond Butter actually contain Peanut Butter.,major
Recall of vegetable trays and cups after notification that they were made with product recalled by Mann Packing for potential Listeria monocytogenes.,severe
Lack of functioning Temperature Indicating Devices in retorts,severe
Potential presence of Listeria Monocytogenes,severe
Undeclared cashew,moderate
"Wegmans Food Markets, Inc. initiated a recall due to the presence of undeclared tree nuts (Cashews and Almonds)",major
"Undeclared colors Blue #1, Red #3 and Yellow #5.",moderate
"Sampler Bag of Biscotti is recalled due to undeclared wheat, soy, and milk.",moderate
A potential for Listeria monocytogenes contamination was verified by the sunflower seed raw material supplier.,severe
Consumer complaints related to Cronobacter sakazakii or Salmonella Newport in infants and evidence of Cronobacter sakazakii in the manufacturing facility where the product had been produced,moderate
During an internal investigation the firm discovered that an ingredient used in various spices may contain Salmonella.,moderate
Spice Chain Corporation has decided to initiate a product recall of Paprika after receiving several  consumer complaints of finding beetles in retail containers.,moderate
Recalled whey powder was used in further production of numerous food products.,major
Presence of metal shavings in tomato paste,severe
"Pursuant to a consent decree for injunctive relief the recalling firm was ordered to recall all products because they are misbranded, unapproved new drugs and adulterated dietary supplements.",major
"GKI Foods of Brighton, Michigan is voluntarily recalling multiple dark chocolate products because they may contain an undeclared milk allergen.",moderate
"The mangoes, packed at Agricola Daniella, in Sinaloa, Mexico, that have the potential to be contaminated with Salmonella Branderup.",severe
Giant Eagle Chicken products made with buffalo sauce (in natural flavor) contains undeclared milk,moderate
Triceutical Inc. has recalled all dietary supplements due to lack of good manufacturing practices.,major
Products not manufactured under GMP's,major
The firm was notified by their customer of possible lead  in their products. The firm sent samples of the product to a lab for evaluation.  Some samples were found with elevated lead levels,major
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,moderate
"Semolina pasta fails to declare the allergen""wheat""",severe
"JFC International Inc. is recalling Oyster IQF L size Frozen wild, PAFCO Oyster Meat Tiny IQF, Oyster M Frozen Farm, Breaded Oyster Frozen, Tablemark Kaki (oyster) Fry, and Pacific Surf Breaded Oyster Fry.  The products have been prepared, packed, or held under insanitary conditions whereby they may have become contaminated with filth, or whereby they may have been rendered injurious to health.",major
The product does not properly display the list of ingredients and contains undeclared wheat.,moderate
The product has the potential to be contaminated with Listeria monocytogenes.,severe
Listeria monocytogenes.,severe
"All canned black cod, salmon, sardines, steelhead, sturgeon, tuna, and Razor clams with any codes starting with  OC  because it has the potential to be contaminated with Clostridium botulinum.",severe
Harb Dairy dba Green Cedar Dairy initiated a voluntary recall of Ackawi cheese following notification by U.S. Food and Drug Administration and the Michigan Department of Agriculture and Rural Development  that the product was positive for Listeria monocytogenes.,severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
Tamarack Inc. is recalling Eclipse Kratom-containing powder products because it may be contaminated with Salmonella.,major
Product may be contaminated with Salmonella.,moderate
"Rong Cheng Trading is recalling all Korean imported frozen shellfish because the product has been prepared, packed, or held under insanitary conditions whereby it may have become contaminated with filth, or whereby it may have been rendered injurious to health.",moderate
A higher than normal micro result was found at the six month time point for one lot of Liquid L-Carnitine.,moderate
"Undeclared FD&C Colors Yellow #5, Yellow #6, Red #3, Red #40, Blue #1",moderate
Cass-Clay Creamery is voluntarily recalling a number of ice cream products because they may contain undeclared Brazil nuts.,moderate
"Potential contamination with Salmonella Oranienburg in onions from Chihuahua, Mexico.",major
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"Sunland, Inc. is conducting a voluntary limited recall of its Almond Butter and Peanut Butter products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
Potential contamination with Listeria monocytogenes,severe
"During labeling, swollen cans of tuna were found. Two UPC codes for product distributed to one customer did  not show signs of swelling but was produced on the same shift as cans that did.",moderate
Undeclared hazelnuts due to miss-packaging by the foreign manufacturer.,major
"JCB Flavors is conducting a recall on various  Seasonings which used  ground cumin as an ingredient received in Oct - Dec 2014.  JCB Flavors was informed by their supplier of ground cumin, Schiff Food Products, that the product tested positive for trace amounts of peanut allergens.",major
U Can Food Trading is recalling Sugar Crackers because they may contain undeclared soy.,moderate
"Firm recalling under directions from their Supplier, due to possible risk of product containing Listera monocytogenes.",major
Undeclared allergens: soy (lecithin),moderate
Product may be contaminated with Listeria monocytogenes.,severe
Sample of product collected by the State Department of Agriculture tested positive for Listeria Monocytogenes,severe
Undeclared peanuts,moderate
Natural Creations is recalling Glucosamine MSM dietary supplement due to unlabeled allergen (shellfish).,major
Recall required by Order of Permanent Injunction. The products are misbranded and deemed unapproved drugs based on labeling claims.,major
Products may be contaminated with  Listeria monocytogenes.,severe
Recall of vegetable trays and cups after notification that they were made with product recalled by Mann Packing for potential Listeria monocytogenes.,severe
"Foreign Matter (a 1/8  long x 8mm, white & blue strand) found on product.",moderate
"Product labeling is incorrect, FD&C colors are undeclared.",moderate
"Firm was notified by customer that some bags of Tropical Trail mix contain  Yogurt Trail mix and therefore do not declare milk, soy, wheat or cashews.",moderate
